Платы;Старая bom_example2.bom;>>>>>;Новая bom_example1.bom
;;;
Измененных компонентов;7;;
Новых компонентов;0;;
Удаленных компонентов;5;;
;;;
;;;
Изменено;ComponentName;PatternName;Value
C201;C 0805 --> C 0603;C-0805 --> 0603;2.2mkF 16V --> 2.2mkF 6V
C202;C 0805 --> C 0603;C-0805 --> 0603;2.2mkF 16V --> 2.2mkF 6V
C316;C 0805 --> C 0603;C-0805 --> 0603;2.2mkF 16V --> 2.2mkF 6V
L10;SRP1265A --> SRP7028A;SRP1265A --> SRP7028A;8.2mkH SRP1265A-8R2M --> 2.2mkH SRP7050TA-2R2M
R198;-;-;2.7k --> 4.7k
R277;-;-;NU --> 0R
R278;-;-;NU --> 0R
;;;
;;;
Добавлено;ComponentName;PatternName;Value
;;;
;;;
Удалено;ComponentName;PatternName;Value
D20;EMIF08-1005M16;-;-
RN24;CAT16-4;CAT16-4;0R
RN25;CAT16-4;CAT16-4;0R
VD31;BAV70;SOT23-G3 ;-
VD34;TVS_SMA;SMA;P4SMAJ13ADF
